INFO | 2026-06-02 21:53:49,584 | succssesfuly readed 
INFO | 2026-06-02 21:53:49,585 | succsseful saved 
INFO | 2026-06-02 21:53:49,586 | soldier updated succssesfuly 
WARNING | 2026-06-02 21:53:49,586 | id not found 
INFO | 2026-06-02 21:58:15,712 | try to update a solider 
INFO | 2026-06-02 21:58:15,714 | succssesfuly readed 
WARNING | 2026-06-02 21:58:15,715 | id not found 
INFO | 2026-06-02 21:58:15,716 | succsseful saved 
INFO | 2026-06-02 21:58:15,717 | soldier updated succssesfuly 
INFO | 2026-06-03 07:06:32,301 | succssesfuly readed 
INFO | 2026-06-03 07:07:26,443 | succssesfuly readed 
INFO | 2026-06-03 07:07:26,445 | succsseful saved 
INFO | 2026-06-03 07:07:26,448 | succsseful saved 
INFO | 2026-06-03 07:08:27,264 | succssesfuly readed 
INFO | 2026-06-03 07:11:42,226 | succssesfuly readed 
INFO | 2026-06-03 07:11:42,229 | succsseful saved 
INFO | 2026-06-03 07:13:29,753 | trying to remone a solider 
INFO | 2026-06-03 07:13:29,755 | succssesfuly readed 
INFO | 2026-06-03 07:13:29,756 | succsseful saved 
INFO | 2026-06-03 07:13:50,898 | trying to remone a solider 
INFO | 2026-06-03 07:13:50,901 | succssesfuly readed 
INFO | 2026-06-03 07:13:50,909 | {'full_name': 'moty', 'role': 'test', 'id': 5} has succssesfuly removed 
INFO | 2026-06-03 07:13:50,910 | succsseful saved 
INFO | 2026-06-03 08:29:00,517 | trying to remone a solider 
INFO | 2026-06-03 08:29:00,521 | succssesfuly readed 
INFO | 2026-06-03 08:29:00,522 | succsseful saved 
INFO | 2026-06-03 08:29:54,207 | trying to remone a solider 
INFO | 2026-06-03 08:29:54,208 | succssesfuly readed 
INFO | 2026-06-03 08:29:54,209 | {'full_name': 'moty', 'role': 'test', 'id': 5} has succssesfuly removed 
INFO | 2026-06-03 08:29:54,211 | succsseful saved 
INFO | 2026-06-03 08:32:44,456 | trying to remone a solider 
INFO | 2026-06-03 08:32:44,462 | succssesfuly readed 
INFO | 2026-06-03 08:32:44,464 | {'full_name': 'moty', 'role': 'test', 'id': 5} has succssesfuly removed 
INFO | 2026-06-03 08:32:44,465 | succsseful saved 
INFO | 2026-06-03 08:32:57,411 | trying to remone a solider 
INFO | 2026-06-03 08:32:57,413 | succssesfuly readed 
INFO | 2026-06-03 08:32:57,414 | succsseful saved 
